Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Thu,6/12/2014,17:00 (14:00),Brazil br,3–1,hr Croatia,62103,Arena Corinthians (Neutral Site),Yuichi Nishimura,Match Report,
Group stage,1,Fri,6/13/2014,13:00 (10:00),Mexico mx,1–0,cm Cameroon,39216,Arena das Dunas (Neutral Site),Wilmar Roldán,Match Report,
Group stage,1,Fri,6/13/2014,16:00 (13:00),Spain es,1–5,nl Netherlands,48173,Itaipava Arena Fonte Nova (Neutral Site),Nicola Rizzoli,Match Report,
Group stage,1,Fri,6/13/2014,18:00 (16:00),Chile cl,3–1,au Australia,40275,Arena Pantanal (Neutral Site),Noumandiez Doué,Match Report,
Group stage,1,Sat,6/14/2014,13:00 (10:00),Colombia co,3–0,gr Greece,57174,Estádio Governador Magalhães Pinto (Neutral Site),Mark Geiger,Match Report,
Group stage,1,Sat,6/14/2014,16:00 (13:00),Uruguay uy,1–3,cr Costa Rica,58679,Estádio Castelão (Neutral Site),Felix Brych,Match Report,
Group stage,1,Sat,6/14/2014,18:00 (16:00),England eng,1–2,it Italy,39800,Arena da Amazônia (Neutral Site),Björn Kuipers,Match Report,
Group stage,1,Sun,6/15/2014,13:00 (10:00),Switzerland ch,2–1,ec Ecuador,68351,Estádio Nacional de Brasília (Neutral Site),Ravshan Irmatov,Match Report,
Group stage,1,Sun,6/15/2014,16:00 (13:00),France fr,3–0,hn Honduras,43012,Estádio José Pinheiro Borba (Neutral Site),Sandro Ricci,Match Report,
Group stage,1,Sun,6/15/2014,19:00 (16:00),Argentina ar,2–1,ba Bosnia & Herz'na,74738,Estadio Jornalista Mário Filho (Neutral Site),Joel Aguilar,Match Report,
Group stage,1,Sat,6/14/2014,22:00 (19:00),Côte d'Ivoire ci,2–1,jp Japan,40267,Itaipava Arena Pernambuco (Neutral Site),Enrique Osses,Match Report,
Group stage,1,Mon,6/16/2014,13:00 (10:00),Germany de,4–0,pt Portugal,51081,Itaipava Arena Fonte Nova (Neutral Site),Milorad Maži?,Match Report,
Group stage,1,Mon,6/16/2014,16:00 (13:00),IR Iran ir,0–0,ng Nigeria,39081,Estádio Joaquim Américo Guimarães (Neutral Site),Carlos Vera,Match Report,
Group stage,1,Mon,6/16/2014,19:00 (16:00),Ghana gh,1–2,us United States,39760,Arena das Dunas (Neutral Site),Jonas Eriksson,Match Report,
Group stage,1,Tue,6/17/2014,13:00 (10:00),Belgium be,2–1,dz Algeria,56800,Estádio Governador Magalhães Pinto (Neutral Site),Marcos Rodriguez,Match Report,
,,,,,,,,,,,,
Group stage,2,Tue,6/17/2014,16:00 (13:00),Brazil br,0–0,mx Mexico,60342,Estádio Castelão (Neutral Site),Cüneyt Çak?r,Match Report,
,,,,,,,,,,,,
Group stage,1,Tue,6/17/2014,18:00 (16:00),Russia ru,1–1,kr Korea Republic,37603,Arena Pantanal (Neutral Site),Néstor Pitana,Match Report,
,,,,,,,,,,,,
Group stage,2,Wed,6/18/2014,13:00 (10:00),Australia au,2–3,nl Netherlands,42877,Estádio José Pinheiro Borba (Neutral Site),Djamel Haïmoudi,Match Report,
Group stage,2,Wed,6/18/2014,16:00 (13:00),Spain es,0–2,cl Chile,74101,Estadio Jornalista Mário Filho (Neutral Site),Mark Geiger,Match Report,
Group stage,2,Wed,6/18/2014,18:00 (16:00),Cameroon cm,0–4,hr Croatia,39982,Arena da Amazônia (Neutral Site),Pedro Proença,Match Report,
Group stage,2,Thu,6/19/2014,13:00 (10:00),Colombia co,2–1,ci Côte d'Ivoire,68748,Estádio Nacional de Brasília (Neutral Site),Howard Webb,Match Report,
Group stage,2,Thu,6/19/2014,16:00 (13:00),Uruguay uy,2–1,eng England,62575,Arena Corinthians (Neutral Site),Carlos Velasco,Match Report,
Group stage,2,Thu,6/19/2014,19:00 (16:00),Japan jp,0–0,gr Greece,39485,Arena das Dunas (Neutral Site),Joel Aguilar,Match Report,
Group stage,2,Fri,6/20/2014,13:00 (10:00),Italy it,0–1,cr Costa Rica,40285,Itaipava Arena Pernambuco (Neutral Site),Enrique Osses,Match Report,
Group stage,2,Fri,6/20/2014,16:00 (13:00),Switzerland ch,2–5,fr France,51003,Itaipava Arena Fonte Nova (Neutral Site),Björn Kuipers,Match Report,
Group stage,2,Fri,6/20/2014,19:00 (16:00),Honduras hn,1–2,ec Ecuador,39224,Estádio Joaquim Américo Guimarães (Neutral Site),Benjamin Williams,Match Report,
Group stage,2,Sat,6/21/2014,13:00 (10:00),Argentina ar,1–0,ir IR Iran,57698,Estádio Governador Magalhães Pinto (Neutral Site),Milorad Maži?,Match Report,
Group stage,2,Sat,6/21/2014,16:00 (13:00),Germany de,2–2,gh Ghana,59621,Estádio Castelão (Neutral Site),Sandro Ricci,Match Report,
Group stage,2,Sat,6/21/2014,18:00 (16:00),Nigeria ng,1–0,ba Bosnia & Herz'na,40499,Arena Pantanal (Neutral Site),Peter O'Leary,Match Report,
Group stage,2,Sun,6/22/2014,13:00 (10:00),Belgium be,1–0,ru Russia,73819,Estadio Jornalista Mário Filho (Neutral Site),Felix Brych,Match Report,
Group stage,2,Sun,6/22/2014,16:00 (13:00),Korea Republic kr,2–4,dz Algeria,42732,Estádio José Pinheiro Borba (Neutral Site),Wilmar Roldán,Match Report,
Group stage,2,Sun,6/22/2014,18:00 (16:00),United States us,2–2,pt Portugal,40123,Arena da Amazônia (Neutral Site),Néstor Pitana,Match Report,
,,,,,,,,,,,,
Group stage,3,Mon,6/23/2014,13:00 (10:00),Australia au,0–3,es Spain,39375,Estádio Joaquim Américo Guimarães (Neutral Site),Nawaf Shukralla,Match Report,
Group stage,3,Mon,6/23/2014,13:00 (10:00),Netherlands nl,2–0,cl Chile,62996,Arena Corinthians (Neutral Site),Bakary Papa Gassama,Match Report,
Group stage,3,Mon,6/23/2014,17:00 (14:00),Croatia hr,1–3,mx Mexico,41212,Itaipava Arena Pernambuco (Neutral Site),Ravshan Irmatov,Match Report,
Group stage,3,Mon,6/23/2014,17:00 (14:00),Cameroon cm,1–4,br Brazil,69112,Estádio Nacional de Brasília (Neutral Site),Jonas Eriksson,Match Report,
Group stage,3,Tue,6/24/2014,13:00 (10:00),Costa Rica cr,0–0,eng England,57823,Estádio Governador Magalhães Pinto (Neutral Site),Djamel Haïmoudi,Match Report,
Group stage,3,Tue,6/24/2014,13:00 (10:00),Italy it,0–1,uy Uruguay,39706,Arena das Dunas (Neutral Site),Marco Antonio Rodríguez,Match Report,
Group stage,3,Tue,6/24/2014,16:00 (14:00),Japan jp,1–4,co Colombia,40340,Arena Pantanal (Neutral Site),Pedro Proença,Match Report,
Group stage,3,Tue,6/24/2014,17:00 (14:00),Greece gr,2–1,ci Côte d'Ivoire,59095,Estádio Castelão (Neutral Site),Carlos Vera,Match Report,
Group stage,3,Wed,6/25/2014,13:00 (10:00),Bosnia & Herz'na ba,3–1,ir IR Iran,48011,Itaipava Arena Fonte Nova (Neutral Site),Carlos Velasco,Match Report,
Group stage,3,Wed,6/25/2014,13:00 (10:00),Nigeria ng,2–3,ar Argentina,43285,Estádio José Pinheiro Borba (Neutral Site),Nicola Rizzoli,Match Report,
Group stage,3,Wed,6/25/2014,16:00 (14:00),Honduras hn,0–3,ch Switzerland,40322,Arena da Amazônia (Neutral Site),Néstor Pitana,Match Report,
Group stage,3,Wed,6/25/2014,17:00 (14:00),Ecuador ec,0–0,fr France,73749,Estadio Jornalista Mário Filho (Neutral Site),Noumandiez Doué,Match Report,
Group stage,3,Thu,6/26/2014,13:00 (10:00),United States us,0–1,de Germany,41876,Itaipava Arena Pernambuco (Neutral Site),Ravshan Irmatov,Match Report,
Group stage,3,Thu,6/26/2014,13:00 (10:00),Portugal pt,2–1,gh Ghana,67540,Estádio Nacional de Brasília (Neutral Site),Nawaf Shukralla,Match Report,
Group stage,3,Thu,6/26/2014,17:00 (14:00),Korea Republic kr,0–1,be Belgium,61397,Arena Corinthians (Neutral Site),Benjamin Williams,Match Report,
Group stage,3,Thu,6/26/2014,17:00 (14:00),Algeria dz,1–1,ru Russia,39311,Estádio Joaquim Américo Guimarães (Neutral Site),Cüneyt Çak?r,Match Report,
,,,,,,,,,,,,
Round of 16,,Sat,6/28/2014,13:00 (10:00),Brazil br,(3) 1–1 (2),cl Chile,57714,Estádio Governador Magalhães Pinto (Neutral Site),Howard Webb,Match Report,Brazil won on penalty kicks following extra time
Round of 16,,Sat,6/28/2014,17:00 (14:00),Colombia co,2–0,uy Uruguay,73804,Estadio Jornalista Mário Filho (Neutral Site),Björn Kuipers,Match Report,
Round of 16,,Sun,6/29/2014,13:00 (10:00),Netherlands nl,2–1,mx Mexico,58817,Estádio Castelão (Neutral Site),Pedro Proença,Match Report,
Round of 16,,Sun,6/29/2014,17:00 (14:00),Costa Rica cr,(5) 1–1 (3),gr Greece,41242,Itaipava Arena Pernambuco (Neutral Site),Benjamin Williams,Match Report,Costa Rica won on penalty kicks following extra time
Round of 16,,Mon,6/30/2014,13:00 (10:00),France fr,2–0,ng Nigeria,67882,Estádio Nacional de Brasília (Neutral Site),Mark Geiger,Match Report,
Round of 16,,Mon,6/30/2014,17:00 (14:00),Germany de,2–1,dz Algeria,43063,Estádio José Pinheiro Borba (Neutral Site),Sandro Ricci,Match Report,Required Extra Time
Round of 16,,Tue,7/1/2014,13:00 (10:00),Argentina ar,1–0,ch Switzerland,63255,Arena Corinthians (Neutral Site),Jonas Eriksson,Match Report,Required Extra Time
Round of 16,,Tue,7/1/2014,17:00 (14:00),Belgium be,2–1,us United States,51227,Itaipava Arena Fonte Nova (Neutral Site),Djamel Haïmoudi,Match Report,Required Extra Time
Quarter-finals,,Fri,7/4/2014,13:00 (10:00),France fr,0–1,de Germany,74240,Estadio Jornalista Mário Filho (Neutral Site),Néstor Pitana,Match Report,
Quarter-finals,,Fri,7/4/2014,17:00 (14:00),Brazil br,2–1,co Colombia,60342,Estádio Castelão (Neutral Site),Carlos Velasco,Match Report,
Quarter-finals,,Sat,7/5/2014,13:00 (10:00),Argentina ar,1–0,be Belgium,68551,Estádio Nacional de Brasília (Neutral Site),Nicola Rizzoli,Match Report,
Quarter-finals,,Sat,7/5/2014,17:00 (14:00),Netherlands nl,(4) 0–0 (3),cr Costa Rica,51179,Itaipava Arena Fonte Nova (Neutral Site),Ravshan Irmatov,Match Report,Netherlands won on penalty kicks following extra time
Semi-finals,,Tue,7/8/2014,17:00 (14:00),Brazil br,1–7,de Germany,58141,Estádio Governador Magalhães Pinto (Neutral Site),Marco Antonio Rodríguez,Match Report,
Semi-finals,,Wed,7/9/2014,17:00 (14:00),Netherlands nl,(2) 0–0 (4),ar Argentina,63267,Arena Corinthians (Neutral Site),Cüneyt Çak?r,Match Report,Argentina won on penalty kicks following extra time
Third-place match,,Sat,7/12/2014,17:00 (14:00),Brazil br,0–3,nl Netherlands,68034,Estádio Nacional de Brasília (Neutral Site),Djamel Haïmoudi,Match Report,
Final,,Sun,7/13/2014,16:00 (13:00),Germany de,1–0,ar Argentina,74738,Estadio Jornalista Mário Filho (Neutral Site),Nicola Rizzoli,Match Report,Required Extra Time
